SampleID	phenotype1	phenotype2
081215-A05_1	75.08333333	64
081215-A06_3	89.5	66
081215-A07_4	94.5	67
081215-A08_5	87.5	70
090414-A09_6	89.08333333	73
090414-A10_7	105	NA
090105-A02_8	101.5833333	74
090105-A03_9	73	75
090325-A05_10	89	55
090414-A11_11	NA	NA
090226-A10_13	100.3333333	73
081215-A10_14	97	75
090414-A12_15	NA	NA
081215-A12_16	90.25	65
090414-B01_17	83	NA
081216-D01_18	98.83333333	67
090414-B02_20	104	NA
081216-D03_22	101.6666667	73
081216-D04_23	103.4444444	82
090414-B04_24	90.91666667	76
081216-D05_25	92.18181818	75
081216-D06_26	92.33333333	76
081216-D07_27	89.75	78
090414-B05_29	90.5	NA
081216-D08_31	89	NA
090325-A06_32	92.66666667	NA
090325-A07_33	82.25	63
090414-B06_34	97	NA
090414-B07_35	NA	NA
090414-B08_39	95.16666667	76
090325-A08_40	95.66666667	46
090414-B10_41	NA	63
090209-A04_43	92.25	71
090414-C02_44	81.83333333	64
090325-A09_45	81.75	65
090325-A10_46	95.58333333	76
090414-B11_49	96	NA
090325-A11_50	95.25	64
090105-A06_51	102.6	77
090325-A12_53	91	78
090325-B01_55	74.91666667	66
090325-B02_56	74.125	66
090226-A11_57	89.83333333	76
090226-A12_58	91.25	77
090414-B12_59	82.16666667	70
090226-B01_60	82.33333333	68
090226-B02_61	89.25	75
090414-C01_63	NA	NA
090226-B03_65	100.75	80
090325-B03_66	NA	NA
090226-B04_67	114.6666667	NA
090325-B04_68	98.08333333	74
090226-B05_69	93.25	76
090226-B06_70	90.5	77
090226-B07_71	100.75	79
090226-B08_72	108.1666667	73
090325-B08_73	91.41666667	78
090209-A05_74	99.33333333	78
090209-A06_75	87.66666667	NA
090209-A07_76	110.1666667	NA
090209-A08_77	125	NA
090209-A09_78	98.83333333	73
090209-A10_79	76.25	77
090209-A11_80	110.5714286	72
090209-A12_81	83.25	77
090209-B01_83	79	67
090325-B05_84	89.16666667	110
090325-B06_85	100.75	78
090209-B02_86	NA	NA
090414-C03_87	101.25	73
090325-B07_88	91.88888889	78
090414-C04_89	90.91666667	78
090209-B03_92	91.6	78
090209-B04_93	88.25	72
090209-B05_94	83.91666667	74
090209-B07_96	104.3	84
090325-B09_97	98.375	78
090226-B09_98	83.83333333	79
090209-B08_99	90.16666667	80
090209-B09_100	84.11111111	78
090324-A02_101	86.16666667	79
090414-C05_102	NA	NA
081216-D09_103	84	78
081216-D10_105	80.5	80
090209-B10_106	102.8333333	75
081215-B02_107	81.41666667	46
090209-B12_108	102.1666667	74
090414-C06_109	NA	64
090209-C01_110	150.5	72
090209-C02_111	98	84
090414-C08_113	59	53
090209-C03_114	84.58333333	80
090209-C04_115	105	65
090324-A03_116	91.08333333	80
090325-B10_117	82.75	77
090324-A04_118	73.33333333	65
090325-B11_119	114	NA
090414-C09_120	92.91666667	79
090226-B10_121	84.16666667	66
090324-A05_122	107.1111111	76
090324-A06_123	92	80
090414-C10_124	NA	NA
090325-B12_125	92.75	80
090324-A07_126	100	NA
090324-A08_128	81.25	NA
090324-A09_129	88.83333333	77
090324-A10_130	87.75	76
090324-A11_131	80.77777778	68
090324-A12_132	104.8333333	80
090324-B01_134	81.6	66
090414-C11_136	NA	NA
090324-B03_137	82.33333333	69
090415-D01_138	NA	NA
090324-B04_139	89.6	78
090324-B05_140	82.45454545	64
090324-B06_141	100.5	76
090324-B07_142	111.8888889	97
090324-B08_143	96.33333333	NA
090226-B12_144	NA	NA
090324-B09_145	97	NA
090414-C12_146	NA	NA
090324-B10_147	106.8	80
090324-B11_148	NA	NA
090324-B12_149	104	79
090324-C01_150	83.7	79
090226-B11_151	90.4	NA
090415-D02_152	83.16666667	64
090324-C02_153	84.25	78
090324-C03_154	76.91666667	64
090324-C04_155	82.5	77
090324-C05_156	93.83333333	80
090324-C06_157	88	80
090324-C07_158	90	NA
090324-C08_160	82.83333333	67
090325-C01_161	97.25	NA
090415-D04_162	111	78
090415-D05_163	102.75	96
090324-C09_164	104.8333333	72
090415-D03_165	85	77
090415-D07_166	104.0833333	78
090325-C02_168	101.0833333	78
090105-B05_171	70.66666667	60
090226-A01_173	90.33333333	NA
090324-C10_174	101.0833333	78
090415-D06_175	NA	78
090105-B11_176	98.85714286	91
090209-C05_177	76	65
090325-C03_178	88	78
090209-C06_179	71.83333333	66
090209-C07_180	79.41666667	67
090209-C08_181	107.2222222	NA
090325-C04_182	107.3333333	NA
090209-C09_183	94	76
090209-C10_184	83.75	66
090415-D08_185	92.5	73
090209-C11_186	87.5	79
090209-C12_187	76.33333333	77
090415-D09_188	101.5	72
090415-D10_189	79.75	77
090209-D01_190	111.5	80
090209-D02_191	82.75	61
090209-D03_192	55.75	55
090226-C01_193	101.5	66
090415-D11_194	NA	NA
081215-B03_195	92	79
090226-C02_196	116	NA
090226-C03_197	125	NA
081215-B04_198	84.75	75
081215-B05_199	91.75	78
090226-C04_200	103.75	76
090226-C05_201	105.6666667	67
090226-C06_202	93	71
090226-C07_203	81.83333333	76
090226-C08_205	78.25	66
081215-B06_206	101.4166667	78
090226-C09_207	100	84
090226-C10_208	112.9	77
090324-C11_209	84.5	77
090324-C12_204	76.75	76
090324-D01_211	70.08333333	66
090324-D02_212	89.25	78
090415-D12_213	82.5	70
090324-D03_214	98.58333333	80
090324-D04_215	103.0833333	73
090324-D06_217	79.5	70
090324-D07_218	85.83333333	78
090324-D08_219	56.25	52
090324-D09_220	62.83333333	65
090325-C05_221	72.66666667	60
090324-D10_222	79.75	65
090324-D11_223	86.08333333	80
090324-D12_224	89.75	65
090331-E01_225	77.25	64
090331-E02_226	78.75	67
090331-E04_228	77.91666667	77
090331-E07_232	66.66666667	58
090325-C06_233	69.58333333	66
090105-C10_234	75.25	61
090105-C09_235	82.91666667	67
090105-C08_236	82.08333333	76
090105-C02_237	75.58333333	66
090325-C07_240	77.33333333	77
090331-E08_241	92.25	77
090331-E09_242	81.75	52
090226-C11_243	61.75	76
090325-C08_248	77.5	66
090331-F01_250	57.75	53
090331-E12_251	87.75	79
090331-F03_252	75.75	78
090415-E07_254	78.16666667	68
090415-E06_255	95.91666667	68
090331-F05_257	66.83333333	60
090331-F06_258	102.5	75
090331-F07_259	103.4166667	77
090331-F09_261	79.75	67
090415-E08_262	103.4166667	78
090331-F08_264	78	66
090226-C12_266	70.75	72
090226-D01_267	77.16666667	66
090226-D02_268	60.4	65
090226-D03_269	105.8333333	NA
081215-B07_270	73.75	66
090226-D04_271	78.66666667	63
090415-E09_272	108.0833333	62
090226-D05_273	82.16666667	78
090226-D06_274	106	74
090226-D07_275	77.66666667	65
090226-D08_276	80.25	78
090226-D09_277	82.33333333	67
090226-D10_278	82	NA
090325-C09_279	57.25	57
090325-C10_280	84.08333333	79
090105-C03_282	80.91666667	78
090105-C06_283	77.58333333	74
090105-C04_285	79.5	67
090226-D11_286	86	77
090105-D02_287	54.5	56
090105-C07_288	58	54
090325-C11_289	63	56
090325-C12_290	74.75	65
081215-B08_291	67.08333333	61
090415-E10_293	104.75	70
090325-D01_296	79.75	67
090325-D02_297	82.83333333	67
090415-E11_298	105	78
090325-D03_299	70.33333333	58
081215-B09_300	76.25	67
090325-D04_301	75.58333333	60
090325-D05_302	79.25	NA
090325-D06_303	81.75	67
090325-D07_304	101.0833333	67
090415-E12_305	76.08333333	67
090226-D12_306	59.5	63
090302-E01_308	90.91666667	75
090302-E02_309	103	79
090302-E03_310	84.41666667	NA
090302-E04_311	80.5	77
090325-D08_312	99.5	78
090302-E05_313	86.5	76
090302-F02_314	81.16666667	77
090302-E07_315	98.41666667	71
090302-E08_316	83.41666667	77
090302-E09_317	90.75	58
090302-E10_318	96.16666667	75
090302-E12_320	97.25	69
090302-F01_321	81.75	78
090302-F03_323	103.1666667	78
090302-F04_324	84	NA
090302-F05_325	78.75	NA
090302-F08_328	93.5	65
090302-F09_329	96	65
090302-F10_330	100	68
090302-F11_331	95.5	80
090302-F12_332	100.6666667	68
090302-G01_333	62.58333333	39
090302-G02_334	76.58333333	69
090302-G03_335	81.5	78
090302-G04_336	98.25	66
090331-F11_337	81	70
090331-G02_340	88.16666667	77
090331-G03_341	86.75	77
090331-G05_343	75.66666667	70
090331-G06_344	80	71
090331-G07_345	91.75	66
090331-G08_346	84.83333333	77
090331-G09_347	93.25	78
090331-G10_348	73	57
090331-G11_349	93.75	77
090415-F01_350	63.5	80
090331-H02_353	87.75	62
090331-H04_355	75.91666667	69
090331-H05_356	87	68
090331-H06_357	99.75	101
090331-H07_358	93.58333333	NA
090331-H08_359	82.41666667	76
090331-H09_360	98.41666667	74
090209-D04_361	98.25	67
090331-H10_363	88	NA
090331-H11_364	78.75	NA
090302-G05_366	100.75	NA
090415-F03_367	75.75	NA
090331-H12_368	79	NA
090325-D09_369	75.75	76
090302-G06_370	84.33333333	78
090302-G07_371	83	76
090302-G08_372	85.5	74
090302-G11_375	NA	NA
090302-G12_376	79.5	67
090415-F04_377	89.08333333	78
090302-H01_378	106.6	68
090302-H02_379	91.66666667	NA
090302-H03_380	92.75	NA
090302-H04_381	90.83333333	81
090302-H07_384	90.16666667	67
090302-H08_385	83.75	62
090302-H09_386	82.66666667	77
090302-H10_387	78.33333333	65
090302-H12_389	106.75	79
090325-D10_391	86.08333333	78
090325-D11_392	89.41666667	74
090330-E01_394	86	78
090330-E02_395	90.58333333	65
090330-E03_396	84.66666667	77
090209-A02_398	98.5	NA
090415-F05_399	78.91666667	NA
090415-F06_400	93.75	NA
090415-F07_616	81	NA
090415-F09_619	78	NA
090415-F10_621	85.5	NA
090415-F11_622	83.5	NA
090414-A06_628	81.5	NA
090414-A08_635	NA	NA
081215-B10_636	NA	NA
081215-B11_637	NA	NA
081215-B12_638	NA	NA
090105-D05_639	NA	NA
081215-C01_640	NA	NA
090330-E04_641	NA	NA
081215-C02_642	NA	NA
081215-C03_643	NA	NA
081215-C04_644	NA	NA
081215-C5_645	NA	NA
081215-C07_647	NA	NA
081215-C9_651	NA	NA
090105-D06_652	NA	NA
090105-D07_648	NA	NA
